name;label
drawing;Rysowanie
painting;Malowanie
photography;Fotografia
writing;Pisanie
diy_crafts;DIY / Rękodzieło
playing_instrument;Gra na instrumencie
dancing;Taniec
singing;Śpiew
graphic_design;Grafika komputerowa
gym;Siłownia
running;Bieganie
cycling;Kolarstwo
swimming;Pływanie
yoga;Joga
team_sports;Sporty drużynowe
climbing;Wspinaczka
martial_arts;Sztuki walki
fitness;Fitness
hiking;Wędrówki górskie
camping;Biwakowanie
fishing;Wędkarstwo
gardening;Ogrodnictwo
traveling;Podróże
city_exploration;Zwiedzanie miast
stargazing;Obserwacja gwiazd
picnics;Pikniki
reading;Czytanie
movies;Filmy
board_games;Gry planszowe
video_games;Gry komputerowe
theater;Teatr
music;Muzyka
anime_manga;Anime / Manga
cooking;Gotowanie
language_learning;Nauka języków
programming;Programowanie
science;Nauka
logic_puzzles;Łamigłówki logiczne
podcasts;Podcasty